name	path	assignment
haplotype2_from_utig4-231	utig4-1464-,utig4-1462-,[N5000N:ambig_path],utig4-229-,utig4-230+,utig4-231+	HAPLOTYPE2
haplotype2_from_utig4-250	utig4-1093-,utig4-1091+,utig4-1095+,utig4-1131-,utig4-1133+,utig4-1334+,utig4-252-,utig4-249-,utig4-250+,utig4-1111-,utig4-359-,utig4-358+,utig4-190-,utig4-187-,utig4-189+,utig4-1273-,utig4-193-,utig4-192+,utig4-195+,utig4-1329+,utig4-341-,utig4-338-,utig4-339+,utig4-1014+,utig4-1016+,utig4-1307+,utig4-1308+,[N404074N:tangle],utig4-40+,utig4-1192+,[N100000N:scaffold],utig4-1447+,[N7549N:scaffold],utig4-39-	HAPLOTYPE2
haplotype2_from_utig4-306	utig4-1203-,utig4-1202-,utig4-308-,utig4-304-,utig4-306+,[N100000N:scaffold],utig4-1407-	HAPLOTYPE2
haplotype2_from_utig4-401	utig4-265-,utig4-267+,utig4-1228+,utig4-323-,utig4-319-,utig4-320+,utig4-392-,utig4-393+,utig4-580-,[N211377N:tangle],utig4-399-,utig4-401+	HAPLOTYPE2
haplotype2_from_utig4-703	utig4-164-,utig4-162+,utig4-166+,utig4-756+,utig4-757+,utig4-1101-,utig4-893-,utig4-891-,utig4-629-,utig4-627+,utig4-630+,utig4-702-,utig4-703+,utig4-1344-,utig4-977-,utig4-976+,utig4-889-,utig4-888-,utig4-31-,utig4-30+,utig4-34+,utig4-1013+,utig4-956-,utig4-955+,utig4-959+,utig4-1237-,utig4-626-,[N100000N:scaffold],utig4-816+,utig4-819+,utig4-1358+,utig4-1332-,utig4-1330-,utig4-848-,utig4-844-,utig4-845+,utig4-1156-,utig4-802-,[N19463N:alt-utig4-800],utig4-178-,[N385664N:alt-utig4-177],utig4-180+	HAPLOTYPE2
haplotype2_from_utig4-709	utig4-1412-,utig4-694-,utig4-654-,utig4-653+,utig4-656+,utig4-1218-,utig4-709-,utig4-704-,[N62690N:scaffold],utig4-1484+	HAPLOTYPE2
haplotype2_from_utig4-733	utig4-1267+,utig4-615-,utig4-611-,utig4-609+,utig4-612+,utig4-619+,utig4-542-,utig4-541+,utig4-544+,utig4-917-,utig4-919+,utig4-1002-,utig4-1004+,utig4-1450-,utig4-1051-,utig4-1047-,utig4-1048+,utig4-1180-,utig4-1182+,utig4-1220-,utig4-1221+,utig4-1338-,utig4-972-,utig4-970+,utig4-558-,utig4-557-,utig4-272-,utig4-268-,[N5000N:ambig_path],utig4-559+,utig4-1021-,utig4-750-,utig4-748-,utig4-458-,utig4-457+,utig4-460+,utig4-1198+,utig4-27-,utig4-25+,utig4-28+,utig4-901+,utig4-866-,utig4-863-,utig4-865+,utig4-1413+,utig4-248-,[N5000N:ambig_path],utig4-246+,utig4-65-,utig4-64+,utig4-68+,utig4-454+,utig4-456+,utig4-701+,utig4-940+,utig4-941+,utig4-1134-,utig4-171-,[N5000N:ambig_path],utig4-169+,utig4-715+,utig4-1234-,utig4-1233+,utig4-553-,utig4-552+,utig4-555+,utig4-1069-,utig4-1070+,utig4-1232+,utig4-1177-,utig4-1175+,utig4-1178+,utig4-1205+,utig4-772-,utig4-770-,utig4-235-,utig4-232-,utig4-234+,utig4-1130+,utig4-860-,utig4-858+,utig4-862+,utig4-882-,utig4-883+,utig4-1052-,utig4-1054+,utig4-1229+,utig4-1231+,utig4-1325-,utig4-1155-,utig4-1153+,utig4-935-,utig4-933+,utig4-805-,utig4-803+,utig4-806+,utig4-922+,utig4-923+,utig4-973-,utig4-974+,utig4-1041-,utig4-1043+,utig4-1274+,utig4-987-,utig4-983-,utig4-985+,utig4-999+,utig4-1000+,utig4-1055-,utig4-1056+,utig4-1474+,utig4-777-,utig4-774-,utig4-775+,utig4-1199-,utig4-1200+,utig4-1319-,utig4-1024-,utig4-1022+,utig4-1026+,utig4-1059+,utig4-1061+,utig4-1454-,utig4-881-,utig4-879-,utig4-794-,utig4-791-,utig4-792+,utig4-1012+,utig4-745-,utig4-743+,utig4-747+,utig4-1320+,utig4-1245-,utig4-1244-,utig4-1007-,utig4-1005-,utig4-413-,utig4-410-,utig4-411+,utig4-868-,utig4-870+,utig4-871-,utig4-873+,utig4-1305-,utig4-989-,utig4-988+,utig4-183-,utig4-182+,utig4-185+,utig4-760+,utig4-634-,utig4-632+,utig4-568-,utig4-565-,utig4-566+,utig4-1431-,utig4-912-,utig4-910-,utig4-814-,utig4-812-,utig4-330-,utig4-329+,utig4-332+,utig4-907+,utig4-908+,utig4-1197-,utig4-1066-,utig4-1063-,utig4-1065+,utig4-1195+,utig4-1159-,utig4-1157+,utig4-1161+,utig4-1313-,utig4-1315+,utig4-1337+,utig4-899-,utig4-897+,utig4-423-,utig4-420-,utig4-421+,utig4-1449+,utig4-1378-,utig4-1376-,utig4-948-,utig4-945-,utig4-947+,utig4-1040+,utig4-218-,utig4-216-,utig4-147-,utig4-145+,utig4-149+,utig4-151+,utig4-1189-,utig4-1188+,utig4-1190+,utig4-1306+,utig4-419-,utig4-415-,utig4-416+,utig4-446-,utig4-447+,utig4-1333+,utig4-929-,utig4-928+,utig4-931+,utig4-1075-,utig4-1076+,utig4-1316-,utig4-1317+,utig4-1321-,utig4-732-,utig4-730+,utig4-733+,utig4-916-,utig4-769-,utig4-767+,utig4-754-,utig4-751-,utig4-753+,utig4-1044+,utig4-1046+,utig4-1068+,utig4-937-,utig4-936-,utig4-670-,utig4-667-,utig4-669+,utig4-1164-,utig4-1166+,utig4-1174+,utig4-1073-,utig4-1072+,utig4-618-,utig4-616-,utig4-481-,utig4-479+,utig4-328-,[N5000N:ambig_path],utig4-326+,utig4-885+,utig4-1336-	HAPLOTYPE2
haplotype2_from_utig4-737	utig4-1259-,utig4-1258+,utig4-1261+,utig4-1339-,utig4-1248-,utig4-1247+,utig4-563-,utig4-560-,utig4-562+,utig4-735-,utig4-737+	HAPLOTYPE2
haplotype2_from_utig4-857	utig4-239-,utig4-237+,utig4-240+,utig4-765-,utig4-761-,utig4-763+,utig4-1291+,utig4-699-,utig4-696-,utig4-698+,utig4-1242-,utig4-1224-,utig4-1223+,utig4-855-,utig4-854+,utig4-857+,utig4-1263+,utig4-1266+,utig4-1322-,utig4-1186-,utig4-1183-,utig4-1184+,utig4-1384+,utig4-1328-,utig4-1326-,utig4-159-,utig4-157+,utig4-161+,utig4-313-,utig4-315+,utig4-1102-,utig4-607-,utig4-606+	HAPLOTYPE2
haplotype2_from_utig4-961	utig4-961+,utig4-1390-,[N73038N:ambig_bubble],utig4-595-,[N179365N:ambig_bubble],utig4-1394+,[N1000N:ambig_bubble],utig4-623+,[N1000N:ambig_bubble],utig4-574+	HAPLOTYPE2
haplotype2_unused_utig4-1086	utig4-1086+	HAPLOTYPE2
haplotype2_unused_utig4-1087	utig4-1087+	HAPLOTYPE2
haplotype2_unused_utig4-1088	utig4-1088+	HAPLOTYPE2
haplotype2_unused_utig4-1145	utig4-1145+	HAPLOTYPE2
haplotype2_unused_utig4-1146	utig4-1146+	HAPLOTYPE2
